"boot1","pa","lon","lat","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6"
1,1,-43.548,-20.291,-8.16801443182074,4.9960645221841,0.626452951039907,-9.64500368672732,-1.21491964403339,-5.29963672400714
0,1,-43.423,-19.406,-8.43856927229485,5.41738791632818,0.654090608239225,-9.65737758042752,-1.16641492380476,-5.35583643249734
1,1,-41.352,-12.478,-8.59599029444773,7.52779261851906,0.704077533376345,-7.22607151799901,-2.26162606502761,-6.8936573252825
0,1,-48.198,-25.378,-11.2387983573933,4.16401183950484,3.73549244187427,-8.42048449208387,-1.01618909321019,-4.67094367388758
0,1,-48.548,-25.764,-10.5851012437991,4.1936008477083,3.60510213042309,-7.88323960862495,-0.966232104072801,-4.49567768889734
0,1,-47.896,-24.615,-9.92659155053404,5.96669492233335,3.35711779211284,-8.05269886140946,-1.26650242858131,-5.20160955072589
0,1,-48.494,-25.275,-10.9107476893232,4.78949885805477,3.83904974063696,-8.40103659625604,-0.990499868320675,-4.76082224029315
0,1,-48.874,-25.51,-9.10501716996034,3.76080193382949,3.36731890309085,-7.88861950941667,-0.934259384922178,-5.09402138955351
1,1,-48.623,-25.936,-10.5456488908239,4.36788010205045,3.63253077470046,-7.7207659410505,-0.990217270681277,-4.56837887705458
1,1,-48.69,-26.01,-10.2879578509734,4.64030715190349,3.64248027796548,-7.5690956096963,-0.993388282035729,-4.6565720641602
0,1,-48.962,-26.28,-9.80179732719932,4.73824773222787,3.6012277628483,-7.40349751802902,-1.06783753960092,-4.98545979892037
1,1,-48.784,-26.641,-9.813419389826,4.86296056673091,3.65164392664166,-7.35291511021702,-1.06744010243182,-5.03315606212352
0,1,-48.87,-27.001,-9.24566762401914,4.33945385751244,3.83114268657976,-7.26722487482537,-1.00405695833045,-5.31983092650187
0,1,-48.688,-27.45,-9.17424981160109,4.05542927405784,3.56535415797764,-6.99143159059576,-0.91539221586917,-4.84787590398398
0,1,-49.232,-28.619,-8.69617008591822,5.20922867146272,3.70289064733852,-7.24381421965862,-1.16808721082169,-5.86497267797789
0,1,-49.499,-28.711,-8.49060181027148,5.35550343498647,3.73699009464873,-7.05093241178599,-1.15896679236227,-5.97892125065549
0,1,-49.68,-28.8,-8.4432569581749,4.36210910737933,3.67313675458489,-6.92182766468075,-1.12801205445929,-5.87406052801333
0,1,-49.726,-28.956,-8.56989213263286,4.93838920688673,3.77374902722873,-6.49409757007489,-1.06375779054428,-5.69228323331363
0,1,-49.86,-29.07,-8.67794850908857,3.94366672773303,3.75407508721482,-6.17896984444735,-0.976853784255731,-5.49423803909612
0,1,-49.857,-29.369,-8.77067187228074,3.60043370266151,3.76501732414112,-5.54189801656231,-0.772921002301445,-5.0727471683307
0,1,-44.781,-23.283,-10.2612081479127,4.94850248311839,2.81636340833406,-9.03788481535223,-1.5143223306947,-5.51345860315811
0,1,-47.921,-24.182,-10.0719873886516,5.81528409544723,3.2839741431409,-8.38164032744767,-1.2924401220314,-5.31508311234108
0,1,-47.249,-24.521,-10.623272775592,5.08796394072227,3.35955636693742,-8.07634921481941,-1.28394519604759,-4.89858528375963
1,1,-48.616,-24.571,-8.85232347978993,5.59582480522421,3.35138121125919,-7.75761837406714,-1.17688853298447,-5.59777897373312
0,1,-48.257,-25.22,-11.0833293313244,4.36181925470265,3.81103675657479,-8.63144563044579,-0.982048043633481,-4.75653071156867
0,1,-48.716,-25.603,-9.88171046997611,4.10885420623343,3.64306133942771,-8.10778484502722,-0.78990327190914,-4.7815443504279
1,1,-49.23,-26.37,-9.27694926821972,4.9506682911582,3.67365482021398,-7.28508405735473,-1.15365474459897,-5.49842047288085
0,1,-49.05,-26.73,-9.32379982269963,4.57898243088808,3.669964709398,-7.18489424139988,-1.11641412629478,-5.43539537622857
0,1,-48.871,-26.82,-9.43019961738733,4.71154554001378,3.72220764518394,-7.27029312601078,-1.05467523545732,-5.25957208834467
0,1,-49.77,-26.91,-8.57773850728562,4.63580533584422,3.69625382900827,-7.31596941801021,-1.14960988063561,-6.05727886308358
0,1,-49.14,-27,-8.9903574099795,4.03975376926639,3.66633180716928,-7.22252384688883,-1.03119411642162,-5.4088701003207
0,1,-48.78,-27.09,-9.16969385375718,4.21926007940187,3.6755270522051,-7.31589386030328,-1.0243552451376,-5.22601356759225
0,1,-49.41,-27.09,-9.09312076699136,4.71237506285219,3.80379386617355,-7.19124923998728,-1.13446618141699,-5.75962887061327
1,1,-50.038,-27.092,-8.20480185557809,4.26893186432619,3.73260816701985,-7.39131645799443,-1.07285383448171,-6.16706292634527
1,1,-48.78,-27.18,-9.42722161354212,4.63900916700301,3.76670152888132,-7.11425995009473,-1.02660298706254,-5.11358154447469
0,1,-49.77,-27.27,-8.67280183530474,4.69305830176762,3.76937170208137,-7.27645166834482,-1.10180500369567,-5.97157558686667
0,1,-49.05,-27.358,-8.8924451226765,3.84947353881583,3.57104614570135,-7.1765174632007,-0.940902986759528,-5.21049730222513
0,1,-48.78,-27.36,-9.17424981160109,4.05542927405784,3.56535415797764,-6.99143159059576,-0.91539221586917,-4.84787590398398
0,1,-48.78,-27.54,-9.30261876982882,4.34136069595759,3.55545563827337,-6.7863955748295,-0.843275671822784,-4.58140953067603
